# timestamp tx ty tz qx qy qz qw
1341836537.823375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341836537.855421 -0.004865 0.009458 0.004407 0.000930 0.001838 -0.002143 0.999996
1341836537.887593 -0.014024 0.003856 0.005489 -0.000099 0.006477 -0.006035 0.999961
1341836537.923463 -0.016388 -0.000824 0.000729 0.000770 0.009428 -0.004368 0.999946
1341836537.955620 -0.001884 0.005349 -0.002236 0.003206 0.007487 0.000479 0.999967
1341836537.987525 0.002198 0.010872 0.004057 0.003637 0.008446 0.001453 0.999957
1341836538.023300 -0.003533 0.010302 0.007052 0.003256 0.013359 -0.001333 0.999905
1341836538.055509 -0.023588 0.003111 -0.009361 0.003428 0.019103 -0.005093 0.999799
1341836538.087628 0.010065 -0.019978 -0.014409 -0.002094 0.008003 -0.004132 0.999957
1341836538.123334 0.041273 -0.021219 -0.007461 -0.003676 -0.000847 -0.004062 0.999985
1341836538.155344 0.033438 -0.024987 -0.011757 -0.003818 0.002268 -0.006276 0.999970
1341836538.191519 0.030620 -0.027302 -0.016940 -0.003246 0.001773 -0.004861 0.999981
1341836538.223356 0.019906 -0.020487 -0.015556 -0.002399 0.003832 -0.002975 0.999985
1341836538.255568 0.024207 -0.024867 -0.016314 -0.002168 0.003354 -0.003205 0.999987
1341836538.291700 0.019451 -0.023689 -0.019525 -0.001262 0.003993 -0.002326 0.999989
1341836538.323323 0.008078 -0.024259 -0.022412 -0.001264 0.006169 -0.000474 0.999980
1341836538.355402 0.002437 -0.021837 -0.024544 0.000920 0.007395 0.001279 0.999971
1341836538.391298 -0.006493 -0.015565 -0.025820 0.002615 0.009261 0.002660 0.999950
1341836538.423501 -0.016831 -0.012081 -0.027496 0.002292 0.012409 0.004612 0.999910
1341836538.456232 -0.009850 -0.015554 -0.028323 0.000734 0.010377 0.007312 0.999919
1341836538.491425 -0.015768 -0.013906 -0.027512 0.000420 0.010837 0.008757 0.999903
1341836538.523417 -0.029730 -0.011878 -0.029405 0.000871 0.014456 0.008839 0.999856
1341836538.556411 -0.011161 -0.006939 -0.017654 0.001371 0.009171 0.009840 0.999909
1341836538.591453 -0.035104 -0.013226 -0.027771 0.000714 0.012271 0.009149 0.999883
1341836538.623386 -0.063258 -0.003864 -0.033036 0.003746 0.019627 0.009349 0.999757
1341836538.659232 -0.056475 -0.010448 -0.034464 0.001658 0.018349 0.012662 0.999750
1341836538.691411 -0.071430 -0.001442 -0.035189 0.003419 0.021230 0.015178 0.999654
1341836538.723365 -0.086466 0.007308 -0.030662 0.004614 0.026524 0.018609 0.999464
1341836538.759383 -0.085834 0.000009 -0.032886 0.001992 0.028378 0.022724 0.999337
1341836538.791663 -0.084012 -0.008360 -0.038118 0.000877 0.027048 0.024727 0.999328
1341836538.824233 -0.084521 -0.000259 -0.029451 0.001759 0.025871 0.026656 0.999308
1341836538.859625 -0.100073 0.003600 -0.031205 0.001619 0.030326 0.027949 0.999148
1341836538.891338 -0.059689 -0.018858 -0.024735 -0.004313 0.019898 0.032201 0.999274
1341836538.924362 -0.059322 -0.010491 -0.014388 -0.002572 0.014360 0.032769 0.999356
1341836538.959281 -0.057518 0.006280 0.003422 0.001317 0.016641 0.033068 0.999314
