# timestamp tx ty tz qx qy qz qw
1341839113.793718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839113.861553 -0.004957 0.005863 -0.003508 0.001478 -0.000814 -0.002115 0.999996
1341839113.894400 -0.007091 0.003020 -0.004472 -0.000589 0.000684 -0.001282 0.999999
1341839113.925550 -0.009857 -0.003800 0.001410 -0.002730 0.001271 0.001378 0.999995
1341839113.961614 -0.003048 0.000147 -0.001477 -0.002139 -0.001213 0.000253 0.999997
1341839113.993616 -0.004695 0.004560 0.001274 -0.001611 -0.001312 -0.002411 0.999995
1341839114.025642 -0.003999 0.001717 0.001417 -0.001766 -0.002607 -0.001857 0.999993
1341839114.061534 -0.007536 0.004097 -0.004481 -0.002778 -0.001953 -0.001955 0.999992
1341839114.093617 -0.005811 0.007553 -0.002982 -0.004908 -0.002115 -0.001050 0.999985
1341839114.129556 -0.007205 0.000688 0.002244 -0.007357 -0.002952 -0.002152 0.999966
1341839114.161678 -0.007432 0.003277 0.001173 -0.006218 -0.003868 -0.004249 0.999964
1341839114.229673 -0.010248 0.003194 0.003246 -0.008727 -0.004799 -0.006439 0.999930
1341839114.261690 -0.012994 0.007115 0.001656 -0.007232 -0.003129 -0.005168 0.999956
1341839114.293564 -0.007302 0.000131 -0.003719 -0.010774 -0.004292 -0.004739 0.999922
1341839114.329671 -0.014946 0.006150 0.001768 -0.009828 -0.004303 -0.004698 0.999931
1341839114.361622 -0.015667 0.009017 0.001955 -0.008686 -0.005582 -0.006153 0.999928
1341839114.397666 -0.022040 0.009452 -0.004371 -0.008878 -0.004046 -0.006767 0.999930
1341839114.429583 -0.022982 0.012253 -0.003813 -0.010422 -0.003941 -0.005475 0.999923
1341839114.461610 -0.026100 0.014114 -0.003089 -0.011142 -0.003446 -0.002872 0.999928
1341839114.497561 -0.023664 0.013116 -0.000412 -0.012204 -0.004022 -0.002431 0.999914
1341839114.529492 -0.027483 0.012760 -0.000435 -0.012418 -0.003441 -0.003883 0.999909
1341839114.565482 -0.028546 0.019910 -0.005386 -0.011094 -0.004138 -0.004088 0.999922
1341839114.597648 -0.031897 0.019504 -0.004124 -0.013297 -0.002615 -0.003739 0.999901
1341839114.629596 -0.035624 0.019040 -0.002499 -0.014209 -0.000580 -0.003443 0.999893
1341839114.665607 -0.028380 0.008114 -0.006950 -0.017638 -0.002736 -0.004508 0.999831
1341839114.697721 -0.033605 0.016572 -0.003201 -0.015875 -0.001329 -0.006612 0.999851
1341839114.730054 -0.041149 0.021306 -0.007577 -0.013962 0.001749 -0.007033 0.999876
1341839114.765560 -0.041785 0.018625 -0.011818 -0.016387 0.002131 -0.005331 0.999849
1341839114.797510 -0.046185 0.020468 -0.009834 -0.016279 0.004104 -0.004698 0.999848
1341839114.833570 -0.049504 0.020873 -0.016135 -0.015353 0.005208 -0.004548 0.999858
1341839114.865530 -0.051520 0.023245 -0.019309 -0.016044 0.005156 -0.004392 0.999848
1341839114.897742 -0.053642 0.021554 -0.019340 -0.016775 0.005871 -0.003942 0.999834
1341839114.933721 -0.060815 0.024674 -0.023217 -0.015453 0.007997 -0.003590 0.999842
1341839114.965565 -0.064218 0.025611 -0.030001 -0.015462 0.008195 -0.001889 0.999845
1341839114.997678 -0.069320 0.030376 -0.034877 -0.015835 0.008524 -0.001880 0.999837
1341839115.033675 -0.075709 0.035170 -0.036247 -0.014908 0.012439 -0.001793 0.999810
1341839115.065634 -0.080507 0.031402 -0.046286 -0.016135 0.014958 0.003005 0.999753
1341839115.101577 -0.079409 0.031479 -0.046718 -0.017207 0.012853 0.005192 0.999756
1341839115.133455 -0.086237 0.038548 -0.049257 -0.015593 0.014157 0.001579 0.999777
1341839115.165699 -0.094386 0.035442 -0.052812 -0.015444 0.016796 0.001457 0.999739
1341839115.201542 -0.070963 0.031470 -0.069867 -0.018029 0.009102 0.004541 0.999786
1341839115.233600 -0.071789 0.031432 -0.068804 -0.021706 0.008040 0.004492 0.999722
1341839115.265499 -0.081935 0.035614 -0.068766 -0.020899 0.010722 0.003521 0.999718
1341839115.301699 -0.083422 0.035221 -0.080805 -0.021875 0.009451 0.003165 0.999711
1341839115.333616 -0.084862 0.038046 -0.084813 -0.025160 0.007578 0.002220 0.999652
1341839115.369483 -0.090035 0.039813 -0.079285 -0.025930 0.009035 0.000801 0.999623
1341839115.401613 -0.098653 0.037109 -0.085084 -0.026231 0.011225 0.001581 0.999592
1341839115.469819 -0.104616 0.038994 -0.086002 -0.031249 0.011946 0.002185 0.999438
1341839115.533671 -0.113263 0.042866 -0.100770 -0.030895 0.013754 0.006835 0.999405
1341839115.569633 -0.119373 0.041465 -0.092638 -0.033552 0.014586 0.004745 0.999319
1341839115.601623 -0.125633 0.036848 -0.089937 -0.032839 0.016933 0.004081 0.999309
1341839115.637954 -0.133469 0.043145 -0.098450 -0.030103 0.019306 0.006223 0.999341
1341839115.669467 -0.134542 0.049480 -0.102924 -0.031339 0.019112 0.008629 0.999289
1341839115.701635 -0.138830 0.039156 -0.091255 -0.034961 0.020701 0.008506 0.999138
1341839115.737552 -0.147241 0.036854 -0.089956 -0.031590 0.022944 0.008563 0.999201
1341839115.769579 -0.151755 0.050376 -0.100722 -0.028426 0.022885 0.007886 0.999303
1341839115.805533 -0.162103 0.048999 -0.092046 -0.031249 0.025544 0.008161 0.999152
1341839115.837641 -0.162905 0.043232 -0.090612 -0.030904 0.026465 0.010960 0.999112
1341839115.869594 -0.169347 0.050243 -0.099168 -0.029697 0.027686 0.012651 0.999095
1341839115.905464 -0.172525 0.046536 -0.094554 -0.033337 0.028521 0.014672 0.998929
1341839115.937926 -0.185324 0.043561 -0.087970 -0.032196 0.032956 0.017324 0.998788
1341839115.976772 -0.191357 0.047851 -0.096170 -0.029283 0.035636 0.019962 0.998736
1341839116.037844 -0.209839 0.043584 -0.096073 -0.033728 0.040454 0.025520 0.998286
1341839116.073614 -0.215849 0.040558 -0.093331 -0.031759 0.041912 0.025981 0.998278
1341839116.105551 -0.224530 0.047897 -0.100851 -0.028363 0.043815 0.026000 0.998298
1341839116.137629 -0.236878 0.045420 -0.102996 -0.030156 0.046146 0.027205 0.998109
1341839116.173741 -0.243994 0.040506 -0.096321 -0.030683 0.047782 0.028329 0.997984
1341839116.205705 -0.254922 0.043493 -0.099477 -0.027946 0.051345 0.027549 0.997910
1341839116.237744 -0.256512 0.050601 -0.107803 -0.026148 0.051733 0.030059 0.997866
1341839116.273644 -0.272574 0.048319 -0.106595 -0.027486 0.055575 0.031584 0.997576
1341839116.305590 -0.278122 0.040947 -0.106280 -0.030492 0.058333 0.031505 0.997334
1341839116.341693 -0.290323 0.047334 -0.104892 -0.028482 0.063036 0.033941 0.997027
1341839116.374159 -0.303126 0.048195 -0.110637 -0.028004 0.065654 0.038555 0.996704
1341839116.405626 -0.307461 0.045182 -0.111516 -0.029264 0.066249 0.041611 0.996506
1341839116.441448 -0.316478 0.048490 -0.109219 -0.027738 0.068705 0.042971 0.996325
1341839116.473792 -0.327188 0.048673 -0.111320 -0.026815 0.069571 0.044845 0.996208
1341839116.505559 -0.326606 0.051844 -0.112306 -0.025910 0.068344 0.044833 0.996317
1341839116.541530 -0.341107 0.055797 -0.118776 -0.025663 0.071571 0.046390 0.996026
1341839116.573449 -0.343811 0.050695 -0.117889 -0.028586 0.070674 0.048023 0.995933
1341839116.609629 -0.342253 0.050736 -0.114069 -0.028091 0.069477 0.044881 0.996177
1341839116.642092 -0.356686 0.054220 -0.118547 -0.026167 0.072726 0.042474 0.996104
1341839116.673494 -0.363238 0.052715 -0.125064 -0.027628 0.072841 0.043856 0.995996
1341839116.709491 -0.360723 0.049603 -0.123093 -0.030196 0.070816 0.041992 0.996148
