# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001070 -0.000102 -0.000033 -0.001348 -0.000284 -0.000361 0.999999
1341845820.955790 -0.001509 0.001013 -0.000242 -0.002118 -0.001030 -0.000416 0.999997
1341845820.987817 -0.002775 -0.000386 -0.000538 -0.003069 -0.000847 -0.000707 0.999995
1341845821.019783 -0.002317 -0.000994 -0.001302 -0.003106 -0.001172 -0.001012 0.999994
1341845821.055706 -0.004210 0.001059 -0.000732 -0.002108 -0.001494 0.000078 0.999997
1341845821.087831 -0.001936 0.000862 -0.000961 -0.000954 -0.003438 0.002627 0.999990
1341845821.119871 0.001761 0.001319 -0.001036 0.000986 -0.002480 0.004549 0.999986
1341845821.155881 0.002833 0.001314 -0.000808 0.000564 0.000107 0.005777 0.999983
1341845821.188556 0.001951 -0.001789 0.000081 0.000276 0.001843 0.007924 0.999967
1341845821.223751 0.001863 -0.002485 -0.000401 0.003646 0.002344 0.009758 0.999943
1341845821.256005 0.006332 0.001878 -0.002500 0.004464 0.003288 0.009733 0.999937
1341845821.287883 0.006553 -0.000836 -0.002029 0.002384 0.005850 0.008245 0.999946
1341845821.323879 0.006812 -0.002167 -0.002004 0.002807 0.008254 0.006604 0.999940
1341845821.355690 0.004195 -0.001445 -0.002344 0.003523 0.010861 0.007028 0.999910
1341845821.388161 0.005480 -0.002861 -0.001264 0.003456 0.010999 0.008811 0.999895
1341845821.424470 0.009442 -0.003588 -0.001320 0.005338 0.012039 0.008982 0.999873
1341845821.455778 0.006471 -0.001826 -0.001911 0.005563 0.015012 0.008218 0.999838
1341845821.488014 0.003673 -0.005710 -0.000444 0.004985 0.016237 0.008469 0.999820
1341845821.524370 0.005448 -0.006024 -0.000560 0.007034 0.016785 0.008842 0.999795
1341845821.555644 0.003054 -0.005744 -0.000880 0.008469 0.018473 0.008560 0.999757
1341845821.587677 0.001217 -0.005308 -0.002133 0.008170 0.018260 0.008060 0.999767
1341845821.623761 0.003825 -0.006522 -0.001691 0.007518 0.017053 0.007230 0.999800
1341845821.655725 0.004628 -0.005884 -0.002705 0.007412 0.016990 0.006211 0.999809
1341845821.691884 0.002707 -0.005315 -0.003231 0.006437 0.017249 0.005265 0.999817
1341845821.724228 0.001142 -0.007985 -0.002437 0.006175 0.016551 0.005583 0.999828
1341845821.755681 0.002007 -0.008051 -0.001881 0.007036 0.015127 0.006553 0.999839
1341845821.791636 0.003003 -0.008310 -0.001558 0.008086 0.014525 0.006733 0.999839
1341845821.823697 0.004045 -0.005780 -0.002857 0.009043 0.014999 0.005158 0.999833
1341845821.855574 0.001053 -0.007422 -0.002778 0.007762 0.016216 0.003680 0.999832
1341845821.891741 0.000364 -0.009350 -0.002339 0.008364 0.015947 0.003388 0.999832
1341845821.923730 0.002611 -0.008783 -0.002911 0.009970 0.015713 0.004276 0.999818
1341845821.955750 0.000666 -0.007666 -0.004119 0.010704 0.016293 0.004190 0.999801
1341845821.991786 0.002290 -0.007787 -0.003849 0.009967 0.016378 0.003620 0.999810
1341845822.023863 -0.003120 -0.010614 -0.003024 0.009663 0.017653 0.003196 0.999792
1341845822.059759 -0.005076 -0.009001 -0.003574 0.009638 0.017858 0.003367 0.999788
1341845822.091719 -0.004393 -0.011619 -0.002628 0.009654 0.017900 0.003186 0.999788
1341845822.123689 -0.004968 -0.010087 -0.003242 0.011830 0.018895 0.002758 0.999748
1341845822.185916 -0.012814 -0.013657 -0.002525 0.010141 0.019319 0.003783 0.999755
1341845822.221838 -0.013926 -0.012217 -0.002345 0.012159 0.017652 0.004440 0.999760
1341845822.254004 -0.016893 -0.010066 -0.002958 0.011630 0.017219 0.004251 0.999775
1341845822.289876 -0.018970 -0.013663 -0.000789 0.010617 0.016497 0.003158 0.999803
1341845822.321804 -0.022353 -0.013312 -0.000655 0.011808 0.016361 0.001857 0.999795
1341845822.353784 -0.024937 -0.013489 -0.000216 0.012502 0.016515 0.001510 0.999784
1341845822.391662 -0.029959 -0.014165 0.000316 0.013352 0.017437 0.001516 0.999758
1341845822.428074 -0.034336 -0.013718 -0.000127 0.013786 0.017361 0.001659 0.999753
1341845822.459970 -0.037573 -0.014971 0.000809 0.012694 0.016686 0.001630 0.999779
1341845822.495728 -0.043209 -0.019200 0.001383 0.012050 0.016644 0.001482 0.999788
1341845822.527724 -0.048833 -0.014418 0.001525 0.012828 0.016558 0.001674 0.999779
1341845822.559648 -0.053027 -0.013989 0.002182 0.011975 0.015763 0.002356 0.999801
1341845822.595852 -0.055668 -0.015624 0.002826 0.011836 0.015738 0.002546 0.999803
1341845822.627724 -0.061583 -0.013248 0.003294 0.011117 0.016458 0.003081 0.999798
1341845822.663716 -0.070093 -0.017540 0.004447 0.011031 0.015840 0.006177 0.999795
1341845822.695601 -0.070605 -0.018912 0.005941 0.015382 0.012805 0.009304 0.999756
1341845822.731816 -0.071015 -0.016871 0.006196 0.017438 0.012165 0.010517 0.999719
1341845822.789911 -0.076432 -0.016857 0.006433 0.018333 0.012891 0.010301 0.999696
1341845822.825897 -0.084024 -0.018936 0.006959 0.017176 0.014587 0.010528 0.999691
1341845822.859721 -0.089105 -0.021399 0.008927 0.018195 0.013911 0.012211 0.999663
1341845822.889712 -0.091250 -0.020812 0.009762 0.020644 0.011979 0.013555 0.999623
1341845822.925900 -0.092257 -0.022764 0.009429 0.020948 0.010928 0.012968 0.999637
1341845822.957708 -0.094452 -0.022511 0.009147 0.021471 0.011809 0.011531 0.999633
1341845822.989939 -0.098861 -0.023130 0.010003 0.022762 0.012237 0.010782 0.999608
1341845823.025889 -0.099457 -0.024685 0.009972 0.024614 0.011762 0.011403 0.999563
1341845823.057775 -0.097997 -0.023630 0.009894 0.026208 0.012893 0.011016 0.999513
1341845823.093671 -0.103739 -0.022626 0.010556 0.027695 0.015700 0.011004 0.999433
1341845823.125951 -0.108000 -0.022389 0.010102 0.028488 0.016891 0.012152 0.999378
1341845823.157773 -0.110133 -0.022575 0.011415 0.029336 0.018078 0.011947 0.999335
1341845823.193885 -0.118264 -0.024138 0.009872 0.028642 0.018962 0.011619 0.999342
1341845823.225800 -0.120481 -0.025032 0.011232 0.026516 0.017123 0.011617 0.999434
1341845823.261842 -0.121918 -0.024506 0.011296 0.026734 0.015823 0.010493 0.999462
1341845823.293622 -0.122357 -0.020157 0.011221 0.025695 0.015499 0.009856 0.999501
1341845823.325746 -0.124006 -0.020616 0.011133 0.022318 0.018108 0.009028 0.999546
1341845823.361852 -0.127927 -0.026134 0.011863 0.022365 0.021573 0.009593 0.999471
1341845823.394013 -0.136793 -0.026907 0.011723 0.024636 0.025340 0.012917 0.999292
1341845823.426028 -0.144518 -0.028375 0.012329 0.025761 0.026983 0.016106 0.999174
1341845823.461869 -0.145141 -0.029029 0.011857 0.026517 0.025596 0.017240 0.999172
1341845823.493758 -0.147437 -0.029383 0.010834 0.026836 0.026819 0.017359 0.999129
1341845823.529780 -0.156416 -0.031838 0.011036 0.026622 0.029265 0.017629 0.999062
1341845823.561916 -0.166350 -0.032946 0.011613 0.026903 0.028753 0.018285 0.999057
1341845823.593678 -0.168428 -0.034384 0.011935 0.027047 0.025380 0.019961 0.999113
1341845823.629815 -0.166942 -0.033931 0.012008 0.026935 0.025241 0.020101 0.999116
1341845823.661750 -0.176640 -0.037857 0.013159 0.025951 0.026900 0.019504 0.999111
1341845823.695523 -0.180861 -0.041059 0.016161 0.027755 0.024409 0.020973 0.999097
1341845823.729635 -0.182508 -0.041609 0.017003 0.031817 0.021056 0.022440 0.999020
1341845823.761810 -0.187184 -0.040495 0.016907 0.034128 0.019453 0.023165 0.998960
1341845823.797871 -0.194725 -0.040141 0.016791 0.034254 0.016759 0.021987 0.999031
1341845823.829660 -0.195651 -0.043312 0.018146 0.033463 0.012688 0.019990 0.999159
1341845823.861808 -0.199126 -0.044269 0.018985 0.034440 0.009192 0.018133 0.999200
1341845823.929826 -0.206212 -0.046245 0.019212 0.034364 0.002019 0.014729 0.999299
1341845823.961797 -0.210329 -0.045643 0.018915 0.032829 0.001230 0.011185 0.999398
1341845823.998070 -0.217748 -0.050193 0.021503 0.031562 0.001470 0.009224 0.999458
1341845824.029656 -0.222672 -0.051171 0.021361 0.032143 0.001658 0.010442 0.999427
1341845824.065768 -0.221162 -0.050117 0.021473 0.032195 0.002719 0.012826 0.999396
1341845824.097956 -0.229704 -0.047098 0.020575 0.030720 0.009423 0.013187 0.999397
1341845824.130299 -0.232926 -0.046345 0.019987 0.024997 0.029280 0.011934 0.999187
1341845824.165751 -0.235674 -0.047677 0.018408 0.019282 0.039250 0.013428 0.998953
1341845824.197930 -0.246963 -0.059318 0.021088 0.017177 0.042610 0.012338 0.998868
1341845824.229907 -0.257183 -0.059472 0.019754 0.022102 0.043671 0.012237 0.998727
1341845824.265800 -0.264627 -0.058899 0.018494 0.024337 0.039536 0.013248 0.998834
1341845824.298080 -0.267016 -0.059999 0.016307 0.025803 0.030480 0.013569 0.999110
1341845824.333783 -0.262544 -0.066229 0.016108 0.027847 0.026454 0.012598 0.999183
1341845824.365821 -0.267281 -0.060098 0.013925 0.030839 0.027975 0.012206 0.999058
1341845824.398039 -0.273611 -0.060030 0.013520 0.029994 0.027018 0.011154 0.999123
1341845824.433843 -0.277204 -0.065503 0.013298 0.029103 0.022806 0.011597 0.999249
1341845824.465921 -0.282350 -0.066416 0.013364 0.030495 0.019524 0.016094 0.999215
1341845824.501802 -0.282811 -0.062224 0.011529 0.030478 0.016778 0.021739 0.999158
1341845824.533723 -0.285815 -0.063551 0.011786 0.028182 0.013855 0.025670 0.999177
1341845824.565735 -0.289019 -0.065726 0.013134 0.025967 0.010772 0.028757 0.999191
1341845824.601758 -0.294422 -0.065297 0.014774 0.025999 0.008955 0.032272 0.999101
1341845824.633861 -0.297330 -0.064318 0.014371 0.025411 0.006654 0.036476 0.998989
1341845824.665789 -0.303579 -0.065953 0.015805 0.025034 0.004880 0.039319 0.998901
1341845824.701769 -0.309588 -0.067596 0.017647 0.025478 0.002047 0.041128 0.998827
1341845824.733585 -0.315765 -0.065930 0.016811 0.027089 0.000288 0.042750 0.998718
1341845824.769643 -0.318890 -0.059850 0.016199 0.025343 -0.001476 0.044082 0.998705
1341845824.801632 -0.323420 -0.068568 0.017586 0.020928 -0.005370 0.042494 0.998863
1341845824.833654 -0.324876 -0.071185 0.020816 0.022890 -0.007733 0.042142 0.998819
1341845824.869926 -0.329860 -0.065273 0.017874 0.027253 -0.007601 0.043841 0.998638
1341845824.902071 -0.331250 -0.063552 0.015158 0.026112 -0.009265 0.043558 0.998667
1341845824.933752 -0.335693 -0.070418 0.018439 0.025748 -0.009172 0.039961 0.998827
1341845824.969855 -0.332742 -0.061375 0.013292 0.027469 -0.008484 0.039044 0.998824
1341845825.001907 -0.333931 -0.067126 0.013323 0.024763 -0.005856 0.038866 0.998920
1341845825.037975 -0.351465 -0.071866 0.016128 0.023992 -0.000581 0.037173 0.999021
1341845825.075793 -0.361701 -0.083325 0.015434 0.025394 -0.000743 0.038798 0.998924
1341845825.107881 -0.359897 -0.079764 0.015334 0.032093 -0.001463 0.041221 0.998633
1341845825.143675 -0.362278 -0.077843 0.012348 0.034668 0.000387 0.038836 0.998644
1341845825.175707 -0.366796 -0.080019 0.012492 0.035050 0.001701 0.035497 0.998754
1341845825.211865 -0.370221 -0.079899 0.010650 0.036380 0.002026 0.036257 0.998678
1341845825.243814 -0.374307 -0.083457 0.011355 0.038608 0.004163 0.037160 0.998555
1341845825.275795 -0.382474 -0.074693 0.008980 0.042401 0.005920 0.037653 0.998373
1341845825.311665 -0.392440 -0.074883 0.008909 0.042986 0.005021 0.037890 0.998344
1341845825.343650 -0.391600 -0.068459 0.007505 0.043460 0.002786 0.040598 0.998226
1341845825.379771 -0.398014 -0.076811 0.010718 0.039999 0.003193 0.041062 0.998351
1341845825.411924 -0.400665 -0.070472 0.009126 0.042085 0.001268 0.042915 0.998191
1341845825.443786 -0.401702 -0.065664 0.010355 0.038242 -0.002059 0.044613 0.998270
1341845825.480278 -0.406178 -0.069145 0.011832 0.035083 -0.006253 0.046772 0.998270
