# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001945 0.003640 -0.001402 -0.000428 0.000015 -0.000702 1.000000
1341845820.955790 -0.002025 0.002278 -0.001765 -0.001913 -0.000937 -0.000864 0.999997
1341845820.987817 -0.000796 0.001050 -0.001677 -0.002799 -0.001320 -0.001032 0.999995
1341845821.019783 -0.001898 0.000111 -0.001383 -0.002949 -0.001405 -0.001242 0.999994
1341845821.055706 -0.003446 0.000003 -0.001588 -0.002314 -0.001711 0.000044 0.999996
1341845821.087831 -0.002375 -0.001952 -0.001120 -0.001525 -0.003389 0.002695 0.999989
1341845821.119871 0.005097 -0.000850 -0.001043 0.000589 -0.003229 0.004892 0.999983
1341845821.155881 0.003727 0.002154 -0.001686 0.000807 -0.000076 0.005752 0.999983
1341845821.188556 0.001457 -0.001502 0.000557 0.000372 0.001977 0.007829 0.999967
1341845821.223751 0.002971 -0.004971 0.000777 0.003141 0.002167 0.010036 0.999942
1341845821.256005 0.006389 0.002456 -0.004059 0.004645 0.003266 0.009538 0.999938
1341845821.287883 0.007351 -0.000067 -0.001958 0.002600 0.005722 0.008215 0.999946
1341845821.323879 0.010037 -0.003743 -0.001530 0.002507 0.007593 0.006897 0.999944
1341845821.355690 0.007404 -0.001024 -0.001026 0.003580 0.010185 0.007021 0.999917
1341845821.388161 0.006384 -0.003245 -0.000804 0.003363 0.010834 0.008694 0.999898
1341845821.424470 0.012686 -0.006037 -0.000823 0.004835 0.011450 0.009441 0.999878
1341845821.455778 0.009114 -0.001724 -0.000975 0.005555 0.014447 0.008333 0.999845
1341845821.488014 0.006420 -0.005410 0.000948 0.005014 0.015674 0.008507 0.999828
1341845821.524370 0.009425 -0.007987 0.001025 0.006584 0.016018 0.009310 0.999807
1341845821.555644 0.006782 -0.005932 0.000536 0.008397 0.017691 0.008830 0.999769
1341845821.587677 0.003092 -0.002853 -0.001405 0.008652 0.017845 0.007915 0.999772
1341845821.623761 0.004509 -0.004927 -0.001447 0.007906 0.016918 0.007225 0.999800
1341845821.655725 0.005741 -0.003486 -0.002788 0.007948 0.016756 0.006160 0.999809
1341845821.691884 0.003994 -0.003052 -0.003326 0.006920 0.016955 0.005192 0.999819
1341845821.724228 0.002134 -0.006976 -0.002187 0.006458 0.016297 0.005464 0.999831
1341845821.755681 0.001618 -0.006383 -0.002014 0.007441 0.015195 0.006415 0.999836
1341845821.791636 0.003801 -0.007918 -0.001010 0.008248 0.014363 0.006769 0.999840
1341845821.823697 0.004422 -0.004981 -0.002680 0.009172 0.014941 0.005349 0.999832
1341845821.855574 0.002264 -0.005898 -0.002381 0.008098 0.015966 0.003705 0.999833
1341845821.891741 0.000913 -0.010147 -0.001567 0.008230 0.015812 0.003616 0.999835
1341845821.923730 0.003179 -0.009453 -0.002180 0.009861 0.015583 0.004371 0.999820
1341845821.955750 0.001392 -0.007252 -0.003722 0.010769 0.016171 0.004265 0.999802
1341845821.991786 0.001942 -0.006373 -0.003407 0.010257 0.016472 0.003508 0.999806
1341845822.023863 -0.001721 -0.009406 -0.002027 0.009897 0.017386 0.003179 0.999795
1341845822.059759 -0.003639 -0.006624 -0.002466 0.010131 0.017505 0.003221 0.999790
1341845822.091719 -0.002616 -0.012480 -0.001056 0.009471 0.017566 0.003334 0.999795
1341845822.123689 -0.002969 -0.012462 -0.001800 0.011328 0.018502 0.002978 0.999760
1341845822.185916 -0.013599 -0.012893 -0.002024 0.010407 0.019388 0.003506 0.999752
1341845822.221838 -0.014225 -0.012726 -0.002362 0.012170 0.017660 0.004500 0.999760
1341845822.254004 -0.016766 -0.007828 -0.002906 0.012130 0.017130 0.004132 0.999771
1341845822.289876 -0.020347 -0.013463 -0.000386 0.010743 0.016679 0.003091 0.999798
1341845822.321804 -0.021623 -0.013890 0.000628 0.011723 0.016204 0.002047 0.999798
1341845822.353784 -0.024598 -0.013863 0.000883 0.012398 0.016408 0.001671 0.999787
1341845822.391662 -0.028389 -0.015138 0.001516 0.013162 0.017077 0.001621 0.999766
1341845822.428074 -0.035865 -0.013690 -0.001169 0.013776 0.017382 0.001376 0.999753
1341845822.459970 -0.038959 -0.013147 0.000050 0.013202 0.016826 0.001432 0.999770
1341845822.495728 -0.042886 -0.015690 0.001989 0.013020 0.016511 0.001598 0.999778
1341845822.527724 -0.048808 -0.013905 0.000064 0.013285 0.016222 0.001462 0.999779
1341845822.559648 -0.053031 -0.013051 0.000674 0.012262 0.015451 0.002250 0.999803
1341845822.595852 -0.053377 -0.015132 0.003558 0.011907 0.015101 0.002624 0.999812
1341845822.627724 -0.061560 -0.012064 0.001202 0.011477 0.016078 0.002291 0.999802
1341845822.663716 -0.071769 -0.020427 0.005818 0.010633 0.015564 0.005640 0.999806
1341845822.695601 -0.070126 -0.022976 0.004537 0.014706 0.012384 0.009304 0.999772
1341845822.731816 -0.071933 -0.018350 0.003626 0.017298 0.012064 0.010123 0.999726
1341845822.789911 -0.078812 -0.018559 0.003363 0.018185 0.013030 0.009887 0.999701
1341845822.825897 -0.086160 -0.019301 0.004317 0.017251 0.014629 0.009774 0.999696
1341845822.859721 -0.093752 -0.025403 0.006286 0.017692 0.014395 0.011739 0.999671
1341845822.889712 -0.097058 -0.025742 0.005197 0.019992 0.012814 0.013345 0.999629
1341845822.925900 -0.096994 -0.024166 0.004622 0.021041 0.011620 0.012859 0.999628
1341845822.957708 -0.097760 -0.025626 0.005348 0.021137 0.012126 0.011258 0.999640
1341845822.989939 -0.103970 -0.027851 0.006047 0.022163 0.012931 0.010671 0.999614
1341845823.025889 -0.104846 -0.028239 0.006427 0.024196 0.012491 0.011036 0.999568
1341845823.057775 -0.102955 -0.027777 0.006332 0.025649 0.013671 0.010916 0.999518
1341845823.093671 -0.109478 -0.027574 0.006431 0.026974 0.016609 0.010674 0.999441
1341845823.125951 -0.113317 -0.026426 0.005577 0.027860 0.017599 0.011672 0.999389
1341845823.157773 -0.116355 -0.028756 0.006254 0.028305 0.018994 0.011815 0.999349
1341845823.193885 -0.124710 -0.023155 0.004404 0.029134 0.019887 0.011030 0.999317
1341845823.225800 -0.128909 -0.023810 0.005427 0.027173 0.018524 0.010781 0.999401
1341845823.261842 -0.129290 -0.025894 0.006062 0.026695 0.017073 0.010285 0.999445
1341845823.293622 -0.131986 -0.018910 0.003749 0.026061 0.017313 0.009108 0.999469
1341845823.325746 -0.130970 -0.022043 0.004783 0.022259 0.019115 0.009109 0.999528
1341845823.361852 -0.133488 -0.028685 0.007688 0.022200 0.022642 0.010230 0.999445
1341845823.394013 -0.139900 -0.028375 0.007540 0.024633 0.025830 0.013182 0.999276
1341845823.426028 -0.150964 -0.029701 0.007368 0.025734 0.028034 0.015871 0.999150
1341845823.461869 -0.154664 -0.031620 0.005624 0.026301 0.027282 0.017030 0.999137
1341845823.493758 -0.153390 -0.032182 0.004740 0.026519 0.027815 0.017275 0.999112
1341845823.529780 -0.162620 -0.034016 0.004866 0.026447 0.030334 0.017538 0.999036
1341845823.561916 -0.173329 -0.036493 0.004354 0.026542 0.029802 0.018176 0.999038
1341845823.593678 -0.176380 -0.036563 0.005090 0.026942 0.026674 0.019840 0.999084
1341845823.629815 -0.173326 -0.036180 0.005522 0.026706 0.026268 0.020186 0.999094
1341845823.661750 -0.184074 -0.038989 0.007019 0.025933 0.028166 0.019503 0.999076
1341845823.695523 -0.194916 -0.048221 0.010985 0.026945 0.026746 0.020992 0.999059
1341845823.729635 -0.195613 -0.047560 0.009760 0.031128 0.023466 0.022667 0.998983
1341845823.761810 -0.200560 -0.045802 0.008318 0.033553 0.021841 0.023074 0.998932
1341845823.797871 -0.206842 -0.044866 0.006855 0.033794 0.018875 0.021947 0.999010
1341845823.829660 -0.208910 -0.048206 0.008812 0.032999 0.015075 0.019924 0.999143
1341845823.861808 -0.216914 -0.050554 0.010101 0.033694 0.012422 0.017775 0.999197
1341845823.929826 -0.222664 -0.051961 0.007892 0.033762 0.005230 0.014496 0.999311
1341845823.961797 -0.229114 -0.049853 0.005918 0.032582 0.004733 0.010837 0.999399
1341845823.998070 -0.234685 -0.055351 0.011913 0.031000 0.004624 0.009005 0.999468
1341845824.029656 -0.239634 -0.054828 0.009290 0.031962 0.004597 0.010221 0.999426
1341845824.065768 -0.237368 -0.054703 0.007489 0.031921 0.005961 0.012814 0.999390
1341845824.097956 -0.219005 -0.046661 -0.000537 0.031186 0.009002 0.012526 0.999395
1341845824.130299 -0.242736 -0.047584 0.005225 0.025490 0.030209 0.011870 0.999148
1341845824.165751 -0.239773 -0.046848 0.000047 0.020234 0.039663 0.013741 0.998914
1341845824.197930 -0.256435 -0.061679 0.014896 0.017087 0.044491 0.012619 0.998784
1341845824.229907 -0.264546 -0.064482 0.011503 0.021414 0.045096 0.013104 0.998667
1341845824.265800 -0.286293 -0.064594 0.007706 0.024063 0.043281 0.013358 0.998684
1341845824.298080 -0.285588 -0.065856 0.008707 0.025110 0.034903 0.013474 0.998984
1341845824.333783 -0.282211 -0.071560 0.015982 0.027227 0.030749 0.013140 0.999070
1341845824.365821 -0.287210 -0.068443 0.001075 0.029888 0.031232 0.012360 0.998989
1341845824.398039 -0.296156 -0.068028 -0.002760 0.029152 0.030981 0.010791 0.999036
1341845824.433843 -0.307997 -0.071512 0.003214 0.028615 0.028838 0.011214 0.999112
1341845824.465921 -0.316757 -0.073840 0.001100 0.029864 0.025921 0.015743 0.999094
1341845824.501802 -0.321573 -0.068420 -0.001570 0.030128 0.024054 0.020689 0.999042
1341845824.533723 -0.328108 -0.069238 -0.002765 0.028065 0.021855 0.024763 0.999060
1341845824.565735 -0.332914 -0.071601 0.000049 0.025831 0.019072 0.027992 0.999092
1341845824.601758 -0.338128 -0.073131 0.001653 0.025506 0.017266 0.031673 0.999024
1341845824.633861 -0.344046 -0.072213 -0.000715 0.025033 0.015662 0.035543 0.998932
1341845824.665789 -0.348893 -0.074825 -0.000379 0.024508 0.013659 0.038723 0.998856
1341845824.701769 -0.357000 -0.076260 0.001856 0.025038 0.011228 0.040715 0.998794
1341845824.733585 -0.358030 -0.075168 -0.000762 0.026583 0.008446 0.042445 0.998709
1341845824.769643 -0.365972 -0.064523 -0.009093 0.025946 0.007662 0.043007 0.998708
1341845824.801632 -0.372063 -0.074189 -0.001757 0.021027 0.004220 0.042516 0.998866
1341845824.833654 -0.373821 -0.084940 0.002848 0.021668 0.001797 0.041889 0.998886
1341845824.869926 -0.377482 -0.077613 -0.003155 0.026325 0.001767 0.043490 0.998705
1341845824.902071 -0.385135 -0.075566 -0.006791 0.025344 0.001281 0.042717 0.998765
1341845824.933752 -0.385670 -0.083572 -0.004881 0.024839 0.000715 0.040011 0.998890
1341845824.969855 -0.387700 -0.077511 -0.009524 0.025857 0.002258 0.038494 0.998922
1341845825.001907 -0.391471 -0.078624 -0.009206 0.024116 0.005368 0.038245 0.998963
1341845825.037975 -0.401055 -0.083748 -0.004967 0.023177 0.008982 0.036845 0.999012
1341845825.075793 -0.411447 -0.093684 -0.003008 0.024914 0.008682 0.037908 0.998933
1341845825.107881 -0.411007 -0.093545 -0.002440 0.030434 0.008254 0.039530 0.998721
1341845825.143675 -0.412772 -0.090368 -0.006046 0.033926 0.010151 0.038424 0.998634
1341845825.175707 -0.418725 -0.092828 -0.007717 0.034088 0.011685 0.035141 0.998732
1341845825.211865 -0.422382 -0.088386 -0.009000 0.035954 0.012033 0.034860 0.998673
1341845825.243814 -0.423079 -0.098488 -0.007252 0.036872 0.013537 0.036494 0.998562
1341845825.275795 -0.433780 -0.090550 -0.009902 0.040152 0.015694 0.035999 0.998422
1341845825.311665 -0.443140 -0.094097 -0.011489 0.040613 0.014677 0.037526 0.998362
1341845825.343650 -0.443729 -0.087756 -0.016751 0.041089 0.012749 0.039034 0.998311
