# timestamp tx ty tz qx qy qz qw
1305032180.416768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032180.449191 0.001153 0.020231 -0.013170 0.013033 -0.001909 -0.005477 0.999898
1305032180.480837 -0.001529 0.044904 -0.018715 0.020543 -0.000441 -0.018163 0.999624
1305032180.516840 -0.003358 0.069932 -0.027182 0.023082 0.001108 -0.025088 0.999418
1305032180.548937 -0.001791 0.096375 -0.035514 0.021838 0.000863 -0.031403 0.999268
1305032180.581332 0.001570 0.118329 -0.035241 0.015961 -0.000022 -0.035505 0.999242
1305032180.616763 0.003396 0.140756 -0.027028 0.013412 0.001894 -0.035133 0.999291
1305032180.648962 0.005076 0.155742 -0.019588 0.017274 0.005003 -0.030821 0.999363
1305032180.680825 0.008230 0.181452 -0.014305 0.032631 0.005584 -0.030722 0.998980
1305032180.717342 0.009757 0.204619 -0.026476 0.043375 0.006256 -0.029561 0.998602
1305032180.748819 0.012629 0.224758 -0.027773 0.048012 0.007790 -0.031451 0.998321
1305032180.780850 0.015888 0.248584 -0.033414 0.050937 0.010952 -0.031240 0.998153
1305032180.816787 0.018243 0.266938 -0.030254 0.051412 0.015944 -0.030270 0.998091
1305032180.848954 0.019293 0.284213 -0.027590 0.052595 0.020242 -0.030370 0.997949
1305032180.880917 0.014692 0.301296 -0.011497 0.057996 0.024567 -0.030742 0.997541
1305032180.916865 0.016290 0.317176 -0.011351 0.067917 0.023658 -0.030540 0.996943
1305032180.948907 0.018235 0.339904 -0.014759 0.077368 0.023259 -0.032562 0.996199
1305032180.980907 0.019858 0.356104 -0.013353 0.086919 0.024542 -0.037217 0.995217
1305032181.016753 0.020053 0.374862 -0.018406 0.097470 0.025265 -0.043689 0.993958
1305032181.048957 0.018541 0.389654 -0.018932 0.106181 0.023711 -0.050328 0.992789
1305032181.080911 0.018758 0.409392 -0.032564 0.117068 0.017871 -0.057185 0.991315
1305032181.116902 0.019029 0.425252 -0.031650 0.124535 0.012355 -0.070698 0.989616
1305032181.148803 0.018564 0.442229 -0.034317 0.131981 0.009794 -0.081549 0.987844
1305032181.181078 0.017366 0.463954 -0.043240 0.134539 0.005293 -0.084258 0.987305
1305032181.216791 0.023136 0.474722 -0.054360 0.126418 -0.001188 -0.089542 0.987927
1305032181.248831 0.024382 0.491473 -0.056230 0.117553 -0.003182 -0.087484 0.989201
1305032181.280978 0.025075 0.502350 -0.052137 0.106588 -0.003512 -0.082943 0.990832
1305032181.316657 0.038576 0.509575 -0.029314 0.098571 -0.001282 -0.076752 0.992165
1305032181.348799 0.038851 0.520195 -0.027582 0.092510 0.005473 -0.068252 0.993355
1305032181.380787 0.042532 0.536439 -0.034705 0.086939 0.009413 -0.062952 0.994178
1305032181.416712 0.039716 0.541070 -0.031390 0.077811 0.013863 -0.062076 0.994937
1305032181.448767 0.038450 0.544687 -0.025047 0.074298 0.017969 -0.062460 0.995116
1305032181.480888 0.039744 0.558860 -0.029950 0.069247 0.021177 -0.066253 0.995172
1305032181.517110 0.038902 0.566881 -0.026395 0.061383 0.023984 -0.067355 0.995550
1305032181.549041 0.040884 0.575927 -0.027400 0.054999 0.024778 -0.067920 0.995865
1305032181.580857 0.041116 0.581694 -0.031402 0.046311 0.027062 -0.070206 0.996089
1305032181.616881 0.041877 0.590083 -0.031144 0.036718 0.030402 -0.073142 0.996182
1305032181.648916 0.044147 0.599305 -0.035055 0.024438 0.035129 -0.072671 0.996437
1305032181.681016 0.044028 0.601227 -0.029735 0.011378 0.043818 -0.070111 0.996511
1305032181.716843 0.045333 0.608002 -0.028872 0.003458 0.050856 -0.066731 0.996468
1305032181.748990 0.046423 0.612157 -0.028581 -0.004699 0.053918 -0.061844 0.996617
1305032181.780875 0.044251 0.610511 -0.020251 -0.011394 0.054605 -0.058044 0.996754
1305032181.816836 0.045176 0.613867 -0.027880 -0.013369 0.052802 -0.055344 0.996981
1305032181.848912 0.047133 0.619356 -0.035339 -0.015489 0.048755 -0.056757 0.997077
1305032181.880877 0.044110 0.615795 -0.016060 -0.019177 0.045160 -0.056239 0.997211
1305032181.916917 0.043802 0.615055 -0.016555 -0.016832 0.040820 -0.050526 0.997746
1305032181.950114 0.042589 0.617577 -0.037440 -0.017718 0.036677 -0.048307 0.998002
1305032181.980850 0.044549 0.618891 -0.034723 -0.023154 0.033404 -0.044283 0.998192
1305032182.016837 0.041271 0.619950 -0.021493 -0.021515 0.033486 -0.040693 0.998379
1305032182.049261 0.042873 0.614744 -0.028205 -0.016945 0.031743 -0.044474 0.998362
1305032182.081072 0.036497 0.601333 -0.011853 -0.017372 0.029703 -0.048508 0.998230
1305032182.116839 0.035309 0.602233 -0.011907 -0.008849 0.029047 -0.053704 0.998095
1305032182.148903 0.035720 0.598906 -0.038071 -0.003018 0.026896 -0.048853 0.998439
1305032182.180809 0.035759 0.592334 -0.044486 0.000258 0.023295 -0.050453 0.998455
1305032182.216846 0.019498 0.549211 -0.044890 0.003098 0.023234 -0.050980 0.998425
1305032182.248838 0.015973 0.536901 -0.047150 0.009703 0.021238 -0.051820 0.998383
1305032182.280886 0.012723 0.519719 -0.048311 0.012924 0.019842 -0.054268 0.998246
1305032182.316854 0.008790 0.503972 -0.048268 0.015934 0.018528 -0.055772 0.998144
1305032182.348809 0.005603 0.488268 -0.048998 0.020260 0.017134 -0.057657 0.997984
1305032182.380837 0.002691 0.471214 -0.047860 0.025889 0.016699 -0.058370 0.997820
1305032182.417061 -0.002859 0.451108 -0.052573 0.031902 0.016045 -0.059470 0.997591
1305032182.449002 -0.006772 0.436849 -0.063820 0.034763 0.016015 -0.058777 0.997537
1305032182.480855 -0.011419 0.414969 -0.063162 0.033468 0.016928 -0.056085 0.997721
1305032182.516842 -0.015182 0.392786 -0.060231 0.034689 0.017362 -0.054014 0.997786
1305032182.548795 -0.021324 0.372682 -0.069892 0.036144 0.019174 -0.052349 0.997790
1305032182.580911 -0.029551 0.358333 -0.083609 0.031883 0.023082 -0.051875 0.997878
1305032182.616769 -0.030760 0.333320 -0.085213 0.022926 0.026220 -0.051797 0.998050
1305032182.648743 -0.035434 0.312207 -0.086705 0.016380 0.027346 -0.052929 0.998089
1305032182.680940 -0.041331 0.288840 -0.088142 0.009006 0.027578 -0.058918 0.997841
1305032182.716969 -0.046448 0.264912 -0.088749 0.003092 0.029122 -0.063999 0.997520
1305032182.749019 -0.052817 0.238512 -0.086784 -0.001799 0.029050 -0.066925 0.997333
1305032182.781052 -0.060070 0.213175 -0.089220 -0.007049 0.027280 -0.071333 0.997054
1305032182.816828 -0.064390 0.181556 -0.079635 -0.010194 0.026404 -0.073056 0.996926
1305032182.848783 -0.068657 0.152261 -0.081125 -0.007288 0.023292 -0.072287 0.997085
1305032182.881107 -0.076725 0.127089 -0.088598 -0.012715 0.023095 -0.076410 0.996728
1305032182.916860 -0.081886 0.096895 -0.081708 -0.023543 0.026701 -0.082067 0.995991
1305032182.948825 -0.087290 0.072872 -0.087674 -0.034952 0.032278 -0.092006 0.994621
1305032182.981101 -0.093108 0.061088 -0.088903 -0.051259 0.036104 -0.103884 0.992611
1305032183.016793 -0.100430 0.037402 -0.082578 -0.075632 0.036166 -0.117017 0.989585
1305032183.048822 -0.104101 0.019281 -0.078969 -0.087239 0.035724 -0.136337 0.986167
1305032183.080929 -0.106646 -0.003685 -0.054818 -0.077155 0.036982 -0.154044 0.984352
1305032183.118077 -0.114447 -0.028030 -0.061631 -0.055797 0.041242 -0.165275 0.983804
1305032183.148943 -0.120749 -0.037797 -0.058772 -0.039054 0.051084 -0.172520 0.982905
1305032183.180752 -0.126797 -0.059375 -0.073888 -0.033539 0.062364 -0.169330 0.983012
1305032183.217065 -0.114690 -0.105358 -0.130288 -0.055285 0.068629 -0.162630 0.982744
1305032183.249343 -0.118130 -0.111473 -0.120627 -0.077545 0.086467 -0.137418 0.983680
1305032183.280841 -0.123393 -0.128687 -0.116160 -0.098431 0.102182 -0.118025 0.982823
1305032183.317034 -0.138888 -0.147293 -0.121734 -0.128528 0.118246 -0.084707 0.980981
1305032183.348643 -0.142186 -0.163932 -0.109041 -0.146103 0.123093 -0.068467 0.979191
1305032183.380784 -0.155160 -0.176023 -0.085444 -0.147039 0.128740 -0.059769 0.978894
1305032183.417050 -0.167535 -0.192381 -0.068038 -0.140050 0.133310 -0.054671 0.979605
1305032183.448870 -0.173378 -0.195769 -0.058730 -0.114286 0.135483 -0.065454 0.981987
1305032183.480747 -0.190316 -0.202383 -0.054399 -0.100779 0.151953 -0.073641 0.980475
1305032183.516841 -0.196804 -0.220436 -0.056525 -0.081998 0.172148 -0.079328 0.978442
1305032183.548800 -0.202185 -0.226636 -0.053182 -0.063386 0.185053 -0.082277 0.977225
1305032183.581352 -0.210937 -0.235388 -0.034083 -0.051811 0.187134 -0.091591 0.976682
1305032183.617016 -0.219934 -0.243996 -0.040348 -0.039779 0.183205 -0.091526 0.977996
1305032183.649047 -0.225156 -0.248941 -0.050872 -0.033616 0.180615 -0.083855 0.979396
1305032183.680786 -0.246360 -0.261549 -0.026856 -0.027017 0.187418 -0.080101 0.978636
1305032183.716899 -0.251149 -0.273498 -0.042154 -0.011633 0.191034 -0.069515 0.979050
