# timestamp tx ty tz qx qy qz qw
1305032353.993165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032354.025237 -0.000085 -0.010582 -0.005905 -0.010987 0.003101 -0.004117 0.999926
1305032354.057249 -0.001261 -0.022844 0.002743 -0.020732 0.003939 -0.008327 0.999743
1305032354.093194 -0.002583 -0.035081 -0.004768 -0.030121 0.002010 -0.008962 0.999504
1305032354.125261 -0.001950 -0.045943 -0.008257 -0.044485 0.003998 -0.012345 0.998926
1305032354.157308 -0.003383 -0.063956 -0.007450 -0.063568 0.008269 -0.008960 0.997903
1305032354.193245 -0.003955 -0.078511 -0.006817 -0.077979 0.009921 -0.005236 0.996892
1305032354.225326 -0.004208 -0.093370 -0.012638 -0.092009 0.012423 -0.000117 0.995681
1305032354.257317 -0.004124 -0.109989 -0.010369 -0.108043 0.014609 -0.000547 0.994039
1305032354.293299 -0.003859 -0.125499 -0.007008 -0.115061 0.016117 -0.001148 0.993227
1305032354.325326 -0.005532 -0.146579 -0.008825 -0.120442 0.015439 -0.004410 0.992590
1305032354.357420 -0.005015 -0.165521 -0.011006 -0.126291 0.015043 -0.009576 0.991833
1305032354.394078 -0.005596 -0.187594 -0.009893 -0.130893 0.014735 -0.015146 0.991171
1305032354.425381 -0.005351 -0.206190 -0.015757 -0.134674 0.013459 -0.019607 0.990605
1305032354.457427 -0.002486 -0.226955 -0.022401 -0.143012 0.013467 -0.023945 0.989340
1305032354.493265 -0.001708 -0.243559 -0.024657 -0.153354 0.015402 -0.025254 0.987728
1305032354.525430 -0.000174 -0.261980 -0.028537 -0.165066 0.019043 -0.024269 0.985800
1305032354.557471 0.000483 -0.276377 -0.033066 -0.180530 0.024390 -0.021126 0.983040
1305032354.593446 0.001334 -0.291754 -0.034829 -0.197341 0.028912 -0.013881 0.979810
1305032354.625455 0.002589 -0.304938 -0.035716 -0.209823 0.032827 -0.004003 0.977180
1305032354.657511 0.003732 -0.318382 -0.037116 -0.221413 0.035388 0.003272 0.974532
1305032354.693491 0.004153 -0.330489 -0.033355 -0.232715 0.036223 0.008825 0.971830
1305032354.725481 0.004911 -0.341700 -0.033103 -0.243429 0.034093 0.013112 0.969231
1305032354.757506 0.006558 -0.356659 -0.031574 -0.254326 0.030036 0.012714 0.966568
1305032354.793541 0.008562 -0.369534 -0.029258 -0.260951 0.026130 0.010689 0.964939
1305032354.825638 0.010249 -0.382252 -0.026966 -0.265790 0.021447 0.006144 0.963773
1305032354.857806 0.014021 -0.395556 -0.029938 -0.271364 0.017470 0.001904 0.962316
1305032354.893584 0.015772 -0.411815 -0.027710 -0.279471 0.013089 -0.004495 0.960054
1305032354.925606 0.018126 -0.425554 -0.031294 -0.286346 0.007434 -0.009181 0.958053
1305032354.957696 0.022051 -0.440013 -0.026836 -0.298562 0.000853 -0.016874 0.954241
1305032354.993644 0.025004 -0.450266 -0.025044 -0.302358 -0.003997 -0.025190 0.952853
1305032355.025740 0.029143 -0.463581 -0.030524 -0.314823 -0.010105 -0.033955 0.948489
1305032355.057739 0.031345 -0.474427 -0.018450 -0.328148 -0.016956 -0.046323 0.943337
1305032355.093693 0.032964 -0.482152 -0.010122 -0.334293 -0.025971 -0.057878 0.940332
1305032355.126036 0.034480 -0.495271 -0.005780 -0.341764 -0.037392 -0.067526 0.936611
1305032355.157776 0.037543 -0.504542 0.002084 -0.351321 -0.050553 -0.072477 0.932076
1305032355.193731 0.040633 -0.519890 0.007202 -0.364274 -0.065185 -0.079590 0.925592
