# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 0.001814 -0.007192 0.002060 -0.005886 -0.000140 0.000945 0.999982
1341845948.979787 0.002777 -0.008814 0.005352 -0.011300 0.000484 0.000585 0.999936
1341845949.011787 0.003987 -0.014712 0.009580 -0.017661 0.003470 -0.000763 0.999838
1341845949.047774 0.004109 -0.023935 0.014001 -0.021791 0.005068 0.002492 0.999747
1341845949.079745 0.003991 -0.029550 0.018149 -0.021721 0.004992 0.006140 0.999733
1341845949.115941 0.006115 -0.032711 0.019281 -0.022199 0.006728 0.007798 0.999701
1341845949.147691 0.003817 -0.039612 0.023603 -0.024971 0.011113 0.009463 0.999582
1341845949.179815 0.004696 -0.047536 0.027728 -0.027316 0.013606 0.011724 0.999466
1341845949.215795 0.005914 -0.053008 0.030678 -0.028485 0.015901 0.012598 0.999388
1341845949.247763 0.007564 -0.057967 0.033398 -0.031737 0.019909 0.013175 0.999211
1341845949.283892 0.009076 -0.063888 0.037792 -0.034620 0.024520 0.012834 0.999017
1341845949.315792 0.009170 -0.074055 0.042359 -0.035229 0.028669 0.012808 0.998886
1341845949.347811 0.011386 -0.079358 0.046330 -0.033803 0.031612 0.012081 0.998855
1341845949.383752 0.011558 -0.084746 0.050028 -0.034533 0.035277 0.009644 0.998734
1341845949.415733 0.012035 -0.091103 0.052560 -0.036775 0.036480 0.009116 0.998616
1341845949.451907 0.011598 -0.093755 0.058261 -0.039046 0.036651 0.008530 0.998529
1341845949.483823 0.012392 -0.096267 0.061844 -0.042839 0.037829 0.006595 0.998344
1341845949.515817 0.011271 -0.101189 0.066854 -0.050051 0.038533 0.005072 0.997990
1341845949.551896 0.011348 -0.104818 0.071394 -0.056273 0.035979 0.002384 0.997764
1341845949.583736 0.014035 -0.105329 0.075570 -0.060045 0.034550 0.001022 0.997597
1341845949.619753 0.015201 -0.107118 0.079800 -0.064532 0.034793 -0.001244 0.997308
1341845949.651764 0.011928 -0.113350 0.083979 -0.066433 0.033468 -0.002556 0.997226
1341845949.683707 0.015149 -0.114013 0.087734 -0.066434 0.029195 -0.002208 0.997361
1341845949.719890 0.016154 -0.111935 0.090350 -0.071214 0.029507 -0.005001 0.997012
1341845949.751778 0.013484 -0.115605 0.093312 -0.079145 0.030824 -0.005904 0.996369
1341845949.787857 0.009300 -0.120520 0.097255 -0.084570 0.029182 -0.003867 0.995983
1341845949.819784 0.011623 -0.122481 0.101061 -0.091509 0.025686 -0.002095 0.995471
1341845949.851908 0.010902 -0.122404 0.104116 -0.102157 0.025823 -0.004918 0.994421
1341845949.887758 0.006719 -0.130940 0.107566 -0.113147 0.024918 -0.004963 0.993253
1341845949.920013 0.006092 -0.136183 0.111790 -0.118073 0.020376 -0.005123 0.992783
1341845949.955673 0.005754 -0.139453 0.115592 -0.121845 0.018743 -0.006459 0.992351
1341845949.987737 0.002537 -0.146494 0.118846 -0.126814 0.018980 -0.007863 0.991714
1341845950.019789 -0.002372 -0.151653 0.122428 -0.129818 0.017649 -0.009661 0.991334
1341845950.055847 -0.002401 -0.155824 0.126456 -0.132439 0.015417 -0.011337 0.991006
1341845950.087728 -0.002596 -0.159216 0.129811 -0.137360 0.015849 -0.013562 0.990301
1341845950.124078 -0.006585 -0.165818 0.133028 -0.143136 0.016776 -0.014672 0.989452
1341845950.155757 -0.006877 -0.170532 0.137801 -0.145910 0.015927 -0.015834 0.989043
1341845950.187677 -0.004674 -0.172219 0.141191 -0.148669 0.016625 -0.018338 0.988577
1341845950.223782 -0.007482 -0.178357 0.144445 -0.154700 0.020292 -0.021689 0.987515
1341845950.255885 -0.009830 -0.186052 0.150029 -0.158538 0.019921 -0.022081 0.986905
1341845950.287784 -0.008164 -0.185316 0.153238 -0.158979 0.019332 -0.022565 0.986835
1341845950.323864 -0.005861 -0.179695 0.155131 -0.165943 0.022016 -0.024238 0.985592
1341845950.355780 -0.011314 -0.189062 0.157530 -0.180330 0.024791 -0.028226 0.982888
1341845950.387911 -0.012870 -0.197762 0.161784 -0.188052 0.023858 -0.030590 0.981393
1341845950.424265 -0.011535 -0.205967 0.165379 -0.189603 0.024239 -0.032357 0.981028
1341845950.455762 -0.013776 -0.214891 0.169197 -0.188321 0.025460 -0.034489 0.981171
1341845950.487870 -0.015126 -0.220697 0.172080 -0.186990 0.024543 -0.035514 0.981413
1341845950.523880 -0.012873 -0.219593 0.172554 -0.187038 0.023718 -0.036221 0.981398
1341845950.555793 -0.010141 -0.214102 0.172501 -0.195053 0.025369 -0.038370 0.979713
1341845950.587742 -0.013289 -0.225033 0.173546 -0.209956 0.026101 -0.039119 0.976579
1341845950.623823 -0.013903 -0.237027 0.175364 -0.221532 0.025567 -0.039168 0.974031
1341845950.655770 -0.017003 -0.246402 0.177333 -0.230489 0.025474 -0.039913 0.971922
1341845950.691815 -0.019579 -0.259924 0.180818 -0.237530 0.024672 -0.040311 0.970230
1341845950.756034 -0.020434 -0.273697 0.185784 -0.241248 0.026412 -0.038296 0.969348
1341845950.817895 -0.019244 -0.288642 0.192882 -0.245682 0.027972 -0.038647 0.968176
