# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.008202 -0.008302 -0.000624 -0.002204 -0.003029 -0.007576 0.999964
1341846434.914148 0.013115 -0.017187 -0.001627 -0.004540 -0.011179 -0.018185 0.999762
1341846434.946443 0.018237 -0.021093 -0.002294 -0.006694 -0.024879 -0.026547 0.999316
1341846434.978088 0.012633 -0.032006 -0.004683 -0.007740 -0.029582 -0.027851 0.999144
1341846435.014019 0.022487 -0.034530 -0.005363 -0.006238 -0.035635 -0.027337 0.998971
1341846435.045942 0.036982 -0.033856 -0.005239 -0.004095 -0.038972 -0.026093 0.998891
1341846435.077985 0.047272 -0.033118 -0.009779 -0.001638 -0.038325 -0.026555 0.998911
1341846435.113961 0.048384 -0.030849 -0.010794 0.002848 -0.036511 -0.026873 0.998968
1341846435.146181 0.045000 -0.029383 -0.011449 0.006717 -0.036530 -0.026584 0.998956
1341846435.182052 0.040288 -0.031310 -0.010676 0.008261 -0.040080 -0.023526 0.998885
1341846435.213955 0.041030 -0.038020 -0.010391 0.009614 -0.044693 -0.018439 0.998784
1341846435.246495 0.054780 -0.042024 -0.008485 0.012387 -0.055304 -0.011715 0.998324
1341846435.281968 0.080116 -0.058927 -0.000970 0.007820 -0.066670 -0.000278 0.997744
1341846435.319946 0.096672 -0.045203 0.001375 0.008660 -0.076783 0.001417 0.997009
1341846435.382078 0.143500 -0.026827 0.006201 0.006458 -0.094272 0.019735 0.995330
1341846435.414309 0.150970 0.004498 0.004959 0.015087 -0.097438 0.022611 0.994870
1341846435.450323 0.165724 0.036288 0.009095 0.022425 -0.103984 0.022955 0.994061
1341846435.482273 0.172462 0.061095 0.011065 0.027271 -0.104654 0.022175 0.993887
1341846435.513983 0.202004 0.094108 0.013742 0.033129 -0.109160 0.018940 0.993291
1341846435.550153 0.218420 0.115072 0.018810 0.034631 -0.110425 0.016922 0.993137
1341846435.582003 0.245427 0.159130 0.025327 0.041905 -0.116289 0.014423 0.992226
1341846435.618180 0.270017 0.195066 0.030673 0.052228 -0.125244 0.006304 0.990730
1341846435.650183 0.298927 0.226871 0.039258 0.060928 -0.135194 0.002113 0.988942
1341846435.681920 0.334032 0.253024 0.046674 0.068275 -0.141141 0.000012 0.987632
1341846435.717877 0.368133 0.273829 0.056461 0.072968 -0.147104 -0.002760 0.986422
1341846435.750187 0.402628 0.292178 0.067046 0.076837 -0.154211 -0.005292 0.985031
1341846435.782022 0.437862 0.305061 0.077380 0.080508 -0.162595 -0.007231 0.983376
1341846435.818082 0.471995 0.314834 0.088456 0.082976 -0.169589 -0.008035 0.981983
1341846435.849992 0.509790 0.318633 0.100444 0.085174 -0.177245 -0.008340 0.980439
1341846435.886101 0.547907 0.318741 0.113728 0.085899 -0.186036 -0.008773 0.978742
1341846435.918077 0.588115 0.314067 0.127706 0.084526 -0.194731 -0.007295 0.977181
1341846435.950077 0.629620 0.308329 0.143318 0.083595 -0.203905 -0.005062 0.975402
1341846435.986080 0.674581 0.299560 0.160428 0.084126 -0.214458 -0.003501 0.973097
1341846436.018119 0.722195 0.289219 0.180384 0.082696 -0.226714 -0.002359 0.970441
1341846436.050565 0.769123 0.277204 0.200568 0.078568 -0.237565 0.001431 0.968188
1341846436.085970 0.820427 0.270407 0.225875 0.074931 -0.248976 0.004483 0.965596
1341846436.118116 0.866928 0.267282 0.253094 0.073224 -0.261177 0.007089 0.962484
