# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.000565 -0.005226 0.000523 -0.005279 0.000382 0.001016 0.999985
1341845948.979787 0.002061 -0.008922 0.003212 -0.011341 0.000481 0.000389 0.999935
1341845949.011787 0.003972 -0.008745 0.007414 -0.015879 0.003372 -0.001427 0.999867
1341845949.047774 0.004725 -0.021341 0.014814 -0.021152 0.004813 0.002427 0.999762
1341845949.079745 0.008044 -0.032028 0.022754 -0.022751 0.004003 0.007570 0.999704
1341845949.115941 0.008822 -0.035818 0.026669 -0.023666 0.006054 0.008591 0.999665
1341845949.147691 0.011057 -0.041823 0.031220 -0.026051 0.009182 0.010848 0.999560
1341845949.179815 0.010179 -0.050518 0.035022 -0.028677 0.012163 0.013565 0.999423
1341845949.215795 0.010442 -0.055785 0.038039 -0.029860 0.014864 0.014324 0.999341
1341845949.247763 0.011995 -0.058061 0.039198 -0.032151 0.018633 0.014396 0.999206
1341845949.283892 0.015653 -0.066597 0.046635 -0.036110 0.022472 0.014594 0.998989
1341845949.315792 0.019969 -0.077143 0.054349 -0.037170 0.025909 0.016469 0.998837
1341845949.347811 0.022558 -0.080991 0.061545 -0.035577 0.028629 0.015495 0.998837
1341845949.383752 0.022233 -0.086068 0.065269 -0.036191 0.032468 0.013170 0.998730
1341845949.415733 0.021388 -0.094032 0.065603 -0.038676 0.034264 0.012557 0.998585
1341845949.451907 0.019744 -0.097247 0.071063 -0.040976 0.034571 0.011136 0.998500
1341845949.483823 0.022027 -0.101134 0.073930 -0.045225 0.035233 0.009811 0.998307
1341845949.515817 0.013330 -0.103106 0.074971 -0.051374 0.037948 0.005283 0.997944
1341845949.551896 0.025653 -0.104315 0.092355 -0.057454 0.032310 0.005507 0.997810
1341845949.583736 0.027742 -0.104165 0.093139 -0.060904 0.030796 0.003276 0.997663
1341845949.619753 0.028379 -0.105344 0.099035 -0.065262 0.031291 0.001713 0.997376
1341845949.651764 0.030731 -0.113025 0.108001 -0.067998 0.028501 0.002330 0.997276
1341845949.683707 0.031672 -0.110991 0.107935 -0.066796 0.024705 0.001590 0.997459
1341845949.719890 0.033726 -0.112929 0.101605 -0.072693 0.023902 -0.002491 0.997065
1341845949.751778 0.028597 -0.116017 0.111287 -0.080566 0.026782 -0.001643 0.996388
1341845949.787857 0.020070 -0.123821 0.109921 -0.086528 0.026553 0.000967 0.995895
1341845949.819784 0.023183 -0.122894 0.113807 -0.092756 0.022435 0.000154 0.995436
1341845949.851908 0.014181 -0.111816 0.113051 -0.099693 0.025399 -0.003993 0.994686
1341845949.887758 0.015011 -0.127235 0.120444 -0.113276 0.022717 -0.002908 0.993300
1341845949.920013 0.016096 -0.126909 0.128739 -0.116768 0.017886 -0.003569 0.992992
1341845949.955673 0.019616 -0.129021 0.133522 -0.120270 0.014813 -0.003953 0.992623
1341845949.987737 0.012788 -0.132042 0.135318 -0.124166 0.016124 -0.007145 0.992105
1341845950.019789 0.009788 -0.141160 0.139212 -0.128073 0.014416 -0.007480 0.991632
1341845950.055847 0.007552 -0.143864 0.143193 -0.130642 0.012757 -0.010659 0.991290
1341845950.087728 0.002986 -0.147703 0.145671 -0.135344 0.014840 -0.012176 0.990613
1341845950.124078 0.000870 -0.153824 0.150463 -0.141065 0.015178 -0.013881 0.989787
1341845950.155757 -0.000701 -0.161201 0.152661 -0.144569 0.014687 -0.013815 0.989289
1341845950.187677 0.006297 -0.160597 0.160328 -0.146892 0.014119 -0.015965 0.988923
1341845950.223782 0.001956 -0.167087 0.162704 -0.152850 0.018252 -0.018689 0.987904
1341845950.255885 -0.000055 -0.179833 0.170454 -0.158535 0.018015 -0.016946 0.987044
1341845950.287784 -0.001459 -0.179349 0.169806 -0.158615 0.018229 -0.017986 0.987008
1341845950.323864 -0.003895 -0.181867 0.159698 -0.167554 0.020796 -0.026694 0.985282
1341845950.355780 -0.001800 -0.182250 0.170995 -0.179790 0.021929 -0.026343 0.983108
1341845950.387911 -0.004392 -0.188800 0.180918 -0.187193 0.022144 -0.027396 0.981691
1341845950.424265 0.006063 -0.192985 0.194894 -0.188308 0.019842 -0.027681 0.981519
1341845950.455762 0.003557 -0.206300 0.197860 -0.188330 0.021207 -0.028344 0.981468
1341845950.487870 -0.001360 -0.213433 0.196026 -0.187019 0.021175 -0.030057 0.981668
1341845950.523880 -0.001904 -0.213198 0.191104 -0.186800 0.021164 -0.031500 0.981665
1341845950.555793 -0.009021 -0.217035 0.176712 -0.194936 0.024868 -0.031662 0.979989
1341845950.587742 -0.007703 -0.217650 0.183689 -0.208548 0.024533 -0.038436 0.976949
1341845950.623823 -0.006207 -0.231398 0.188706 -0.221384 0.023593 -0.036442 0.974220
1341845950.655770 -0.008096 -0.244430 0.193953 -0.231595 0.023269 -0.034954 0.971906
1341845950.691815 -0.007733 -0.250906 0.201760 -0.237002 0.021890 -0.035179 0.970625
1341845950.756034 -0.011430 -0.270973 0.209808 -0.243118 0.024932 -0.032017 0.969148
1341845950.817895 -0.007819 -0.287103 0.217460 -0.247924 0.025609 -0.030801 0.967951
1341845950.853851 -0.007034 -0.292362 0.220931 -0.248911 0.026884 -0.032481 0.967608
1341845950.885881 -0.003975 -0.302487 0.229624 -0.251995 0.027896 -0.033810 0.966735
1341845950.917771 -0.002453 -0.311569 0.239865 -0.252692 0.029293 -0.034381 0.966492
1341845950.953822 -0.002981 -0.320330 0.241259 -0.251336 0.031672 -0.033125 0.966814
1341845950.985908 -0.005488 -0.326514 0.243145 -0.250861 0.034285 -0.035425 0.966767
1341845951.017817 -0.007361 -0.334266 0.244036 -0.253819 0.035682 -0.038396 0.965830
1341845951.053777 -0.005114 -0.339638 0.254148 -0.257668 0.037051 -0.035586 0.964867
1341845951.085819 -0.005731 -0.347132 0.258071 -0.260244 0.039517 -0.032180 0.964197
1341845951.121819 -0.006496 -0.354248 0.262030 -0.264282 0.040253 -0.029137 0.963164
1341845951.153788 -0.000075 -0.364291 0.275115 -0.268364 0.039156 -0.023879 0.962225
1341845951.185690 -0.000345 -0.372866 0.281336 -0.269133 0.038646 -0.020683 0.962105
1341845951.221846 0.003080 -0.379210 0.288449 -0.268833 0.035009 -0.018188 0.962379
1341845951.253677 0.004930 -0.389514 0.297400 -0.268969 0.031011 -0.010174 0.962596
1341845951.289833 0.010491 -0.387457 0.311884 -0.262591 0.025597 -0.004296 0.964558
1341845951.321746 0.013973 -0.392869 0.303758 -0.258441 0.023936 -0.006391 0.965709
1341845951.353781 0.008839 -0.407191 0.303518 -0.262324 0.025313 -0.001559 0.964647
1341845951.389710 0.015147 -0.412156 0.319096 -0.262080 0.021258 0.001134 0.964811
1341845951.421759 0.013247 -0.416973 0.320887 -0.256130 0.019762 0.001173 0.966440
1341845951.453714 0.017910 -0.417382 0.321949 -0.251182 0.017493 0.003213 0.967777
1341845951.489750 0.015001 -0.419346 0.324369 -0.249295 0.017391 0.003946 0.968263
1341845951.521791 0.016192 -0.420529 0.325123 -0.247742 0.016069 -0.002932 0.968688
1341845951.557734 0.011583 -0.430173 0.329939 -0.250494 0.019703 -0.000709 0.967917
1341845951.621927 0.012643 -0.451012 0.344337 -0.254729 0.013592 0.001996 0.966915
1341845951.657740 0.010401 -0.454803 0.346944 -0.257250 0.011879 0.000785 0.966271
