# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.005093 0.002003 -0.000368 0.001222 -0.001971 0.000294 0.999997
1341846313.721918 0.015856 0.004541 0.000674 0.001326 -0.003765 -0.000087 0.999992
1341846313.753994 0.017692 0.002309 0.005369 0.000565 -0.003645 0.002361 0.999990
1341846313.789969 0.032388 -0.003220 0.000371 0.000925 -0.005692 0.001859 0.999982
1341846313.822075 0.038699 -0.003666 0.005023 0.000832 -0.004857 0.000042 0.999988
1341846313.853928 0.041301 0.000367 0.008874 0.000843 -0.001928 -0.002110 0.999996
1341846313.890011 0.043150 -0.003480 0.006089 0.000002 0.000500 -0.001264 0.999999
1341846313.922055 0.066781 0.009206 -0.000459 -0.000587 -0.001912 0.001942 0.999996
1341846313.957927 0.045007 0.011393 -0.000279 -0.001973 0.008288 0.003081 0.999959
1341846313.990058 0.041015 0.010938 0.002064 -0.003213 0.015592 0.003928 0.999866
1341846314.022042 0.074206 0.009856 -0.007694 -0.006206 0.012195 0.005513 0.999891
1341846314.057816 0.073968 0.010297 -0.006740 -0.009114 0.016270 0.006274 0.999806
1341846314.089801 0.064321 0.012319 -0.010658 -0.007553 0.024228 0.006205 0.999659
1341846314.122037 0.111868 0.014716 0.004779 -0.009434 0.020696 0.010500 0.999686
1341846314.157989 0.112578 0.009447 0.010788 -0.012283 0.024655 0.011395 0.999556
1341846314.190094 0.115327 0.008549 -0.002945 -0.012109 0.028905 0.011201 0.999446
1341846314.225969 0.130391 0.019294 0.004209 -0.013321 0.029341 0.014924 0.999369
1341846314.257923 0.133092 0.009546 0.013426 -0.016586 0.031696 0.014426 0.999256
1341846314.290052 0.119746 0.021087 0.039540 -0.013180 0.035391 0.011639 0.999219
1341846314.325981 0.118623 0.032798 0.041587 -0.012518 0.037435 0.008355 0.999186
1341846314.357905 0.137713 0.022036 0.041013 -0.014955 0.038640 0.008799 0.999103
1341846314.389899 0.136635 0.016460 0.039914 -0.014168 0.042192 0.006892 0.998985
1341846314.427905 0.141008 0.027279 0.041159 -0.013020 0.044097 0.005043 0.998930
1341846314.493987 0.160528 0.014975 0.032197 -0.012990 0.052320 -0.001530 0.998545
1341846314.526085 0.162417 0.019396 0.031260 -0.012224 0.054851 -0.004206 0.998411
1341846314.558292 0.158583 0.019173 0.033333 -0.013661 0.059363 -0.005275 0.998129
1341846314.594085 0.170305 0.012539 0.042076 -0.013357 0.063150 -0.005686 0.997898
1341846314.626096 0.182453 0.019659 0.023553 -0.011879 0.065694 -0.002362 0.997766
1341846314.658455 0.179948 0.023558 0.035745 -0.013363 0.068475 -0.004099 0.997555
1341846314.694004 0.196797 0.010688 0.033921 -0.014478 0.071139 -0.005859 0.997344
1341846314.725910 0.200365 0.012744 0.031197 -0.009164 0.073620 -0.001387 0.997243
1341846314.761942 0.197979 0.005169 0.024362 -0.007075 0.074794 0.002289 0.997171
1341846314.794030 0.213699 0.007325 0.029492 -0.004053 0.075892 0.003073 0.997103
1341846314.826092 0.223377 0.015104 0.032594 -0.000912 0.079470 0.004793 0.996825
1341846314.862145 0.221336 0.020794 0.025046 0.000187 0.084494 0.004850 0.996412
1341846314.894072 0.203221 0.005947 0.025437 -0.002551 0.092906 0.007460 0.995644
1341846314.925969 0.219140 0.009190 0.021559 -0.002416 0.093115 0.009555 0.995607
1341846314.961937 0.191151 0.015706 0.019424 -0.005054 0.099213 0.014023 0.994955
1341846314.994564 0.234455 0.019795 0.027846 -0.007497 0.093497 0.010634 0.995535
1341846315.029900 0.243856 0.021098 0.029117 -0.007421 0.096809 0.008616 0.995238
1341846315.061965 0.236201 0.018997 0.021519 -0.007663 0.100515 0.011613 0.994838
1341846315.094388 0.258194 0.018933 0.029549 -0.007573 0.096664 0.013952 0.995190
1341846315.129851 0.256754 0.026262 0.028058 -0.004255 0.098078 0.011901 0.995099
1341846315.161941 0.261611 0.042868 0.033404 -0.005916 0.097964 0.015400 0.995053
1341846315.197984 0.273521 0.051151 0.041313 -0.010688 0.094508 0.012354 0.995390
1341846315.230076 0.277486 0.041347 0.044177 -0.015726 0.093876 0.008060 0.995427
