# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.002561 0.003605 -0.000867 0.001604 -0.001356 -0.000563 0.999998
1341846313.721918 0.004502 0.003702 -0.001532 0.001304 -0.001632 0.000605 0.999998
1341846313.753994 0.004992 0.006593 -0.001049 0.001420 -0.001212 0.002186 0.999996
1341846313.789969 0.005633 0.008534 -0.001323 0.002912 -0.001110 0.000135 0.999995
1341846313.822075 0.003874 0.008182 -0.002728 0.002662 0.000862 0.000120 0.999996
1341846313.853928 -0.001091 0.008924 -0.002695 0.002209 0.004921 -0.000874 0.999985
1341846313.890011 -0.012138 0.007403 -0.005152 0.001788 0.009552 -0.000442 0.999953
1341846313.922055 -0.028942 0.005150 -0.007309 -0.000967 0.013317 0.001015 0.999910
1341846313.957927 -0.045324 0.007134 -0.006262 -0.002353 0.021410 0.002368 0.999765
1341846313.990058 -0.065433 0.010318 -0.004945 -0.002868 0.032120 0.001651 0.999479
1341846314.022042 -0.086507 0.012818 -0.004124 -0.004712 0.037849 0.001710 0.999271
1341846314.057816 -0.108058 0.016784 -0.001014 -0.007378 0.045175 0.004059 0.998944
1341846314.089801 -0.128113 0.020822 0.000569 -0.005291 0.054570 0.003172 0.998491
1341846314.122037 -0.147051 0.017597 -0.001513 -0.007686 0.062062 0.005611 0.998027
1341846314.157989 -0.165262 0.024547 -0.000855 -0.008066 0.069146 0.006427 0.997553
1341846314.190094 -0.182397 0.027820 -0.001161 -0.007347 0.076869 0.006791 0.996991
1341846314.225969 -0.196754 0.033504 -0.002341 -0.008921 0.081751 0.008374 0.996578
1341846314.257923 -0.210296 0.044448 -0.000997 -0.008277 0.087013 0.009345 0.996129
1341846314.290052 -0.221660 0.051289 -0.002324 -0.005898 0.090836 0.007099 0.995823
1341846314.325981 -0.232100 0.059473 -0.003591 -0.005676 0.094496 0.005383 0.995495
1341846314.357905 -0.238929 0.068031 -0.000956 -0.004567 0.099840 0.004657 0.994982
1341846314.389899 -0.243505 0.070391 -0.002259 -0.002673 0.103641 0.003911 0.994604
1341846314.427905 -0.251801 0.078248 -0.003427 -0.001631 0.107899 0.001961 0.994159
1341846314.493987 -0.252326 0.086604 -0.002538 0.001387 0.119663 -0.006699 0.992791
1341846314.526085 -0.266760 0.083053 -0.002278 0.000439 0.124951 -0.007984 0.992131
1341846314.558292 -0.270568 0.085725 -0.004231 -0.000018 0.129309 -0.006540 0.991583
1341846314.594085 -0.274873 0.091467 -0.003945 0.002763 0.135812 -0.007834 0.990700
1341846314.626096 -0.272339 0.088916 -0.010709 0.002438 0.139857 -0.006418 0.990148
1341846314.658455 -0.272147 0.095375 -0.012636 0.001605 0.142802 -0.007518 0.989721
1341846314.694004 -0.298262 0.103510 -0.001394 0.003832 0.152445 -0.010261 0.988251
1341846314.725910 -0.301050 0.101727 -0.006614 0.008409 0.155681 -0.006250 0.987752
1341846314.761942 -0.306711 0.106499 -0.010836 0.013181 0.157540 -0.002643 0.987421
1341846314.794030 -0.316197 0.112612 -0.009660 0.017528 0.162691 -0.001461 0.986520
1341846314.826092 -0.327737 0.113747 -0.009758 0.019693 0.169725 -0.000916 0.985294
1341846314.862145 -0.336193 0.115614 -0.015048 0.020236 0.175502 0.000416 0.984271
1341846314.894072 -0.342234 0.117625 -0.017286 0.020613 0.181294 0.002054 0.983211
